Latitude,Longitude,severity,Weather Condition,Road Surface Condition
34.0522,-118.2437,1,Clear,Dry
40.7128,-74.006,2,Rain,Wet
51.5074,-0.1278,3,Snow,Icy
35.6762,139.6503,1,Fog,Wet
48.8566,2.3522,2,Windy,Dry
37.7749,-122.4194,3,Rain,Muddy
55.7558,37.6173,1,Clear,Dry
41.8781,-87.6298,2,Snow,Snowy
43.6532,-79.3832,3,Fog,Icy
33.8688,151.2093,1,Clear,Dry
34.1083,-117.2898,2,Rain,Wet
39.9042,116.4074,3,Windy,Muddy
47.6062,-122.3321,1,Clear,Dry
25.7617,-80.1918,2,Rain,Wet
52.52,13.405,3,Snow,Icy
34.6937,135.5022,1,Fog,Wet
38.9072,-77.0369,2,Windy,Dry
45.4215,-75.6972,3,Rain,Muddy
59.3293,18.0686,1,Clear,Dry
32.7157,-117.1611,2,Snow,Snowy
51.1657,10.4515,3,Fog,Icy
35.2271,-80.8431,1,Clear,Dry
42.3601,-71.0589,2,Rain,Wet
53.3498,-6.2603,3,Windy,Muddy
37.5665,126.978,1,Clear,Dry
39.7392,-104.9903,2,Snow,Snowy
64.1355,-21.8954,3,Fog,Icy
33.4484,-112.074,1,Clear,Dry
49.2827,-123.1207,2,Rain,Wet
50.0755,14.4378,3,Windy,Muddy
36.1699,-115.1398,1,Clear,Dry
40.4168,-3.7038,2,Snow,Snowy
60.1699,24.9384,3,Fog,Icy
29.7604,-95.3698,1,Clear,Dry
44.9778,-93.265,2,Rain,Wet
46.0569,14.5058,3,Windy,Muddy
30.2672,-97.7431,1,Clear,Dry
38.627,-90.1994,2,Snow,Snowy
48.1351,11.582,3,Fog,Icy
34.0007,-81.0348,1,Clear,Dry
41.2565,-95.9345,2,Rain,Wet
50.8503,4.3517,3,Windy,Muddy
39.0997,-94.5786,1,Clear,Dry
42.3314,-83.0458,2,Snow,Snowy
52.3676,4.9041,3,Fog,Icy
35.7796,-78.6382,1,Clear,Dry
43.0389,-87.9065,2,Rain,Wet
47.4979,19.0402,3,Windy,Muddy
36.8508,-76.2859,1,Clear,Dry
39.9526,-75.1652,2,Snow,Snowy
55.6761,12.5683,3,Fog,Icy
32.7767,-96.797,1,Clear,Dry
37.3382,-121.8863,2,Rain,Wet
59.9139,10.7522,3,Windy,Muddy
33.7701,-118.1937,1,Clear,Dry
40.8257,-74.1088,2,Snow,Snowy
51.4545,-2.5879,3,Fog,Icy
28.5383,-81.3792,1,Clear,Dry
45.5152,-122.6784,2,Rain,Wet
52.2297,21.0122,3,Windy,Muddy
35.4676,-97.5164,1,Clear,Dry
41.4993,-81.6944,2,Snow,Snowy
48.2082,16.3738,3,Fog,Icy
32.7357,-117.149,1,Clear,Dry
39.7684,-86.1581,2,Rain,Wet
50.1109,8.6821,3,Windy,Muddy
33.4942,-111.926,1,Clear,Dry
42.6526,-73.7562,2,Snow,Snowy
57.7089,11.9746,3,Fog,Icy
26.1224,-80.1373,1,Clear,Dry
44.4268,-79.6681,2,Rain,Wet
53.4808,-2.2426,3,Windy,Muddy
37.5407,-77.436,1,Clear,Dry
40.7608,-111.891,2,Snow,Snowy
65.0121,25.4651,3,Fog,Icy
31.7619,-106.485,1,Clear,Dry
43.6187,-116.2146,2,Rain,Wet
51.555,-0.1086,3,Windy,Muddy
34.7466,-92.2896,1,Clear,Dry
42.9634,-85.6681,2,Snow,Snowy
62.3239,5.637,3,Fog,Icy
27.9506,-82.4572,1,Clear,Dry
47.2529,-122.4443,2,Rain,Wet
54.9783,-1.6178,3,Windy,Muddy
35.994,-78.8986,1,Clear,Dry
41.0814,-81.519,2,Snow,Snowy
67.8558,20.2253,3,Fog,Icy
30.3322,-81.6557,1,Clear,Dry
39.2904,-76.6122,2,Rain,Wet
51.6214,-3.9436,3,Windy,Muddy
32.2217,-110.9265,1,Clear,Dry
42.8864,-78.8784,2,Snow,Snowy
63.4305,10.3951,3,Fog,Icy
25.7907,-80.13,1,Clear,Dry
45.5231,-122.6765,2,Rain,Wet
53.8008,-1.5491,3,Windy,Muddy
36.0726,-79.792,1,Clear,Dry
41.6639,-83.5552,2,Snow,Snowy
64.8378,-147.7164,3,Fog,Icy
33.6695,-117.8231,1,Clear,Dry
